Autoscaler,DisplayName,Run,File,CPUCost_USD,MemoryCost_USD,TotalCost_USD
queue-CDT120,Queue-CDT120,1,queue-CDT120-1.csv,0.16504965714285713,0.014973604387555805,0.18002326153041293
queue-CDT120,Queue-CDT120,2,queue-CDT120-2.csv,0.16735918095238095,0.015120861235119049,0.18248004218750002
queue-CDT120,Queue-CDT120,3,queue-CDT120-3.csv,0.16538915714285712,0.014968929268973216,0.18035808641183035
queue-CDT120,Queue-CDT120,4,queue-CDT120-4.csv,0.16913381904761904,0.01550611828031994,0.18463993732793899
queue-CDT120,Queue-CDT120,5,queue-CDT120-5.csv,0.16558546666666665,0.014993200160435267,0.18057866682710194
queue-CDT300,Queue-CDT300,1,queue-CDT300-1.csv,0.17963568571428573,0.01597009440104167,0.19560578011532737
queue-CDT300,Queue-CDT300,2,queue-CDT300-2.csv,0.17627532857142858,0.01573162580217634,0.1920069543736049
queue-CDT300,Queue-CDT300,3,queue-CDT300-3.csv,0.17759960952380952,0.015818467785063246,0.19341807730887275
queue-CDT300,Queue-CDT300,4,queue-CDT300-4.csv,0.17964815714285715,0.01597388113839286,0.19562203828124997
queue-CDT300,Queue-CDT300,5,queue-CDT300-5.csv,0.17467390476190475,0.01569459245954241,0.19036849722144716
hpa80-CDT120,HPA80-CDT120,1,hpa80-CDT120-1.csv,0.17736065079365076,0.01649468005952381,0.19385533085317458
hpa80-CDT120,HPA80-CDT120,2,hpa80-CDT120-2.csv,0.17999997460317457,0.016820996287512404,0.196820970890687
hpa80-CDT120,HPA80-CDT120,3,hpa80-CDT120-3.csv,0.17773707238095238,0.016518646786644345,0.1942557191675967
hpa80-CDT120,HPA80-CDT120,4,hpa80-CDT120-4.csv,0.1783748088888889,0.016576264485677086,0.19495107337456596
hpa80-CDT120,HPA80-CDT120,5,hpa80-CDT120-5.csv,0.17742962857142858,0.016540979972718257,0.1939706085441468
hpa80-CDT300,HPA80-CDT300,1,hpa80-CDT300-1.csv,0.19069553333333333,0.017690516628689236,0.20838604996202253
hpa80-CDT300,HPA80-CDT300,2,hpa80-CDT300-2.csv,0.193515,0.017904326307508683,0.21141932630750868
hpa80-CDT300,HPA80-CDT300,3,hpa80-CDT300-3.csv,0.1932423222222222,0.018098139404296876,0.2113404616265191
hpa80-CDT300,HPA80-CDT300,4,hpa80-CDT300-4.csv,0.19229926666666666,0.017920957845052085,0.21022022451171873
hpa80-CDT300,HPA80-CDT300,5,hpa80-CDT300-5.csv,0.19253767111111109,0.017853455430772575,0.21039112654188366
hybrid-CDT120,Hybrid-CDT120,1,hybrid-CDT120-1.csv,0.17802271428571426,0.016107679850260417,0.19413039413597472
hybrid-CDT120,Hybrid-CDT120,2,hybrid-CDT120-2.csv,0.17988188095238095,0.0163930962844122,0.19627497723679316
hybrid-CDT120,Hybrid-CDT120,3,hybrid-CDT120-3.csv,0.17979504285714282,0.016392474714006698,0.19618751757114955
hybrid-CDT120,Hybrid-CDT120,4,hybrid-CDT120-4.csv,0.18067481746031747,0.016369468044704863,0.19704428550502232
hybrid-CDT120,Hybrid-CDT120,5,hybrid-CDT120-5.csv,0.1791719333333333,0.01618341064453125,0.19535534397786458
hybrid-CDT300,Hybrid-CDT300,1,hybrid-CDT300-1.csv,0.18971121428571427,0.017339442661830358,0.20705065694754465
hybrid-CDT300,Hybrid-CDT300,2,hybrid-CDT300-2.csv,0.1888423714285714,0.017083562186104913,0.20592593361467632
hybrid-CDT300,Hybrid-CDT300,3,hybrid-CDT300-3.csv,0.19009921428571427,0.017203330601283484,0.20730254488699776
hybrid-CDT300,Hybrid-CDT300,4,hybrid-CDT300-4.csv,0.18764465238095238,0.017144627278645835,0.2047892796595982
hybrid-CDT300,Hybrid-CDT300,5,hybrid-CDT300-5.csv,0.1927961222222222,0.017481988157242067,0.2102781103794643
